TXNAME	GENEID
FBtr0335394	FBgn0031319
FBtr0335395	FBgn0031319
FBtr0344790	FBgn0031319
FBtr0077971	FBgn0031321
FBtr0307056	FBgn0031322
FBtr0335379	FBgn0031322
FBtr0077972	FBgn0031322
FBtr0307057	FBgn0031322
FBtr0307096	FBgn0263080
FBtr0335380	FBgn0263080
FBtr0307097	FBgn0263081
FBtr0335381	FBgn0263081
FBtr0335382	FBgn0040723
FBtr0077973	FBgn0040723
FBtr0114498	FBgn0031324
FBtr0299796	FBgn0259229
FBti0019102-RA	FBti0019102
FBtr0077920	FBgn0031327
FBtr0335383	FBgn0031327
FBtr0077921	FBgn0041097
FBtr0479835	FBgn0041097
FBtr0077922	FBgn0011294
FBtr0305552	FBgn0031331
FBtr0343837	FBgn0031331
FBtr0305553	FBgn0026141
FBtr0077924	FBgn0026141
FBtr0077925	FBgn0026141
FBtr0343838	FBgn0031337
FBtr0077926	FBgn0031337
FBtr0343839	FBgn0031337
FBtr0343840	FBgn0266202
FBtr0308744	FBgn0263320
FBtr0343841	FBgn0263320
FBtr0343842	FBgn0263321
FBtr0308745	FBgn0263321
FBtr0077929	FBgn0051928
FBtr0334817	FBgn0051928
FBtr0077930	FBgn0053128
FBtr0334818	FBgn0051926
FBtr0077931	FBgn0051926
FBtr0077932	FBgn0051661
FBtr0334819	FBgn0264873
FBtr0077873	FBgn0026398
FBtr0077874	FBgn0026397
FBtr0310017	FBgn0261509
FBtr0310018	FBgn0261509
FBtr0310020	FBgn0261509
FBtr0344146	FBgn0261509
FBtr0474152	FBgn0261509
FBtr0474153	FBgn0261509
FBtr0474154	FBgn0261509
FBtr0310019	FBgn0261509
FBti0019104-RA	FBti0019104
FBtr0077876	FBgn0031351
FBtr0077877	FBgn0086758
FBtr0303933	FBgn0086758
FBtr0303935	FBgn0086758
FBtr0307047	FBgn0086758
FBtr0077878	FBgn0086758
FBtr0303934	FBgn0086758
FBti0019106-RA	FBti0019106
FBtr0077881	FBgn0011570
FBtr0331630	FBgn0011570
FBtr0344040	FBgn0266311
FBtr0333542	FBgn0031357
FBtr0077882	FBgn0031357
FBtr0077883	FBgn0260648
FBtr0345430	FBgn0260648
FBtr0077884	FBgn0031360
FBtr0077885	FBgn0264494
FBtr0077886	FBgn0264494
FBtr0077887	FBgn0031364
FBtr0077888	FBgn0045497
FBtr0089786	FBgn0051665
FBtr0304911	FBgn0051665
FBtr0334823	FBgn0051665
FBtr0077891	FBgn0031372
FBtr0334824	FBgn0031372
FBtr0334825	FBgn0264884
FBtr0113012	FBgn0031374
FBtr0333007	FBgn0031374
FBtr0077811	FBgn0031374
FBtr0309828	FBgn0031374
FBtr0333006	FBgn0031374
FBtr0113011	FBgn0031374
FBtr0110882	FBgn0031374
FBtr0110883	FBgn0031374
FBtr0077812	FBgn0051942
FBtr0334758	FBgn0267972
FBtr0077813	FBgn0267972
FBtr0077814	FBgn0031378
FBtr0077815	FBgn0031379
FBtr0077816	FBgn0031381
FBtr0304139	FBgn0262148
FBtr0309284	FBgn0263441
FBtr0346492	FBgn0267276
FBtr0334759	FBgn0040717
FBtr0077817	FBgn0040717
FBtr0077818	FBgn0051943
FBtr0077819	FBgn0051944
FBtr0301068	FBgn0031384
FBtr0330672	FBgn0031384
FBtr0330671	FBgn0031384
FBtr0301067	FBgn0031384
FBtr0334774	FBgn0031384
FBtr0301066	FBgn0031384
FBtr0334773	FBgn0031384
FBtr0077821	FBgn0011860
FBtr0339529	FBgn0003557
FBtr0077822	FBgn0003557
FBtr0077823	FBgn0003557
FBtr0334778	FBgn0003557
FBtr0077824	FBgn0003557
FBtr0310547	FBgn0028952
FBtr0077825	FBgn0028952
FBtr0077826	FBgn0026396
FBtr0077827	FBgn0031388
FBtr0334779	FBgn0031388
FBtr0343304	FBgn0266043
FBtr0334780	FBgn0264864
FBtr0100485	FBgn0004507
FBtr0077828	FBgn0004507
FBtr0077829	FBgn0027509
FBtr0077831	FBgn0031392
FBtr0077830	FBgn0031392
FBtr0330657	FBgn0031392
FBtr0077832	FBgn0031393
FBtr0334810	FBgn0265017
FBtr0077834	FBgn0051946
FBtr0334811	FBgn0264874
FBtr0112365	FBgn0085203
FBtr0077835	FBgn0031399
FBtr0077836	FBgn0031401
FBtr0077837	FBgn0031401
FBtr0077838	FBgn0031401
FBtr0077839	FBgn0031401
FBtr0100673	FBgn0267378
FBtr0100674	FBgn0267378
FBtr0077840	FBgn0267378
FBtr0335158	FBgn0264946
FBtr0077751	FBgn0264979
FBtr0335159	FBgn0264979
FBtr0304029	FBgn0262106
FBtr0309033	FBgn0262106
FBtr0335160	FBgn0262106
FBtr0077753	FBgn0042187
FBtr0077755	FBgn0031407
FBtr0077754	FBgn0031407
FBtr0077756	FBgn0031409
FBtr0077757	FBgn0051949
FBtr0303208	FBgn0051949
FBtr0077758	FBgn0031412
FBtr0344662	FBgn0031414
FBtr0344663	FBgn0031414
FBtr0077762	FBgn0261647
FBtr0077763	FBgn0261647
FBtr0330665	FBgn0261647
FBtr0330666	FBgn0261647
FBtr0077764	FBgn0031419
FBtr0331438	FBgn0031420
FBtr0077765	FBgn0031420
FBtr0077766	FBgn0031420
FBtr0331437	FBgn0031420
FBtr0077767	FBgn0264672
FBtr0330685	FBgn0264672
FBtr0077768	FBgn0031422
FBtr0475317	FBgn0287218
FBtr0077769	FBgn0031424
FBtr0307078	FBgn0031424
FBtr0077770	FBgn0031428
FBtr0335462	FBgn0031428
FBtr0335463	FBgn0264988
FBtr0077771	FBgn0000490
FBtr0077772	FBgn0000490
FBtr0077773	FBgn0000490
FBtr0077775	FBgn0000490
FBtr0089298	FBgn0012016
FBtr0077779	FBgn0011818
FBtr0077778	FBgn0011818
FBtr0077777	FBgn0011818
FBtr0077780	FBgn0011818
FBtr0347298	FBgn0267738
FBtr0335165	FBgn0264944
FBti0019749-RA	FBti0019749
FBtr0077693	FBgn0031435
FBtr0077694	FBgn0031437
FBtr0335170	FBgn0031437
FBtr0335172	FBgn0250835
FBtr0335171	FBgn0250835
FBtr0114513	FBgn0031440
FBtr0308746	FBgn0263322
FBtr0452192	FBgn0284413
FBtr0332511	FBgn0264434
FBtr0332512	FBgn0264433
FBtr0077697	FBgn0031442
FBtr0077698	FBgn0026395
FBtr0077699	FBgn0031443
FBtr0332513	FBgn0031443
FBti0019111-RA	FBti0019111
FBtr0077700	FBgn0031444
FBtr0475060	FBgn0286882
FBtr0273435	FBgn0041248
FBtr0077702	FBgn0041248
FBtr0301682	FBgn0051690
FBtr0334161	FBgn0031449
FBtr0077705	FBgn0031449
FBtr0077706	FBgn0031449
FBtr0077707	FBgn0031449
FBtr0334159	FBgn0031449
FBtr0077708	FBgn0031449
FBtr0334158	FBgn0031449
FBtr0334160	FBgn0031449
FBtr0309710	FBtr0309710_df_nrg
FBtr0309709	FBgn0263564
FBtr0089751	FBgn0031450
FBtr0089750	FBgn0031450
FBtr0089749	FBgn0031450
FBtr0077712	FBgn0031452
FBtr0335125	FBgn0031453
FBtr0077713	FBgn0031453
FBtr0307080	FBgn0031453
FBtr0077714	FBgn0031453
FBtr0077715	FBgn0031456
FBtr0335126	FBgn0031456
FBtr0077716	FBgn0031458
FBtr0335127	FBgn0031458
FBtr0077717	FBgn0028398
FBtr0335128	FBgn0031459
FBtr0077718	FBgn0031459
FBtr0077719	FBgn0031459
FBti0019750-RA	FBti0019750
FBtr0332217	FBgn0264369
FBtr0077720	FBgn0031461
FBtr0335151	FBgn0031461
FBtr0077721	FBgn0031461
FBtr0077722	FBgn0031462
FBtr0077618	FBgn0031467
FBtr0077619	FBgn0031468
FBtr0335130	FBgn0031472
FBtr0273293	FBgn0015521
FBtr0077621	FBgn0015521
FBtr0077622	FBgn0015521
FBtr0077623	FBgn0015521
FBtr0335131	FBgn0015521
FBtr0077625	FBgn0031474
FBtr0077626	FBgn0031474
FBtr0077627	FBgn0031474
FBtr0077628	FBgn0031476
FBtr0077629	FBgn0031478
FBtr0332457	FBgn0051950
FBtr0077630	FBgn0051950
FBtr0077631	FBgn0028970
FBtr0077632	FBgn0041111
FBtr0290040	FBgn0041111
FBtr0452101	FBgn0041111
FBtr0332458	FBgn0041111
FBtr0077633	FBgn0041111
FBtr0077634	FBgn0041111
FBtr0290039	FBgn0041111
FBtr0290041	FBgn0041111
FBtr0290038	FBgn0041111
FBtr0290237	FBgn0010263
FBtr0290238	FBgn0010263
FBtr0077637	FBgn0010263
FBtr0077638	FBgn0010263
FBtr0330213	FBgn0010263
FBtr0100468	FBgn0010263
FBtr0077639	FBgn0010263
FBtr0077640	FBgn0010263
FBtr0343782	FBgn0010263
FBtr0077641	FBgn0260639
FBtr0343781	FBgn0031484
FBtr0077642	FBgn0031484
FBtr0077643	FBgn0025109
FBtr0331653	FBgn0025681
FBtr0077644	FBgn0025681
FBtr0077645	FBgn0025681
FBtr0273230	FBgn0025681
FBtr0077646	FBgn0031488
FBti0063010-RA	FBti0063010
FBtr0077647	FBgn0031490
FBtr0331628	FBgn0031490
FBtr0077648	FBgn0031492
FBtr0077650	FBgn0031494
FBtr0077651	FBgn0031495
FBtr0077652	FBgn0031495
FBtr0344734	FBgn0031495
FBtr0344735	FBgn0031495
FBtr0344088	FBgn0031498
FBtr0077653	FBgn0031498
FBtr0335478	FBgn0031498
FBtr0077654	FBgn0031500
FBtr0077655	FBgn0031500
FBtr0335479	FBgn0031500
FBtr0335385	FBgn0031501
FBtr0077656	FBgn0031501
FBtr0077657	FBgn0042627
FBtr0335386	FBgn0042627
FBtr0452214	FBgn0263847
FBtr0077658	FBgn0003934
FBtr0077659	FBgn0283427
FBtr0335387	FBgn0283427
FBti0019113-RA	FBti0019113
FBtr0077660	FBgn0005779
FBtr0077661	FBgn0031504
FBtr0077574	FBgn0260817
FBtr0077575	FBgn0051953
FBtr0077576	FBgn0014906
FBtr0332371	FBgn0014906
FBtr0308315	FBgn0014906
FBtr0077577	FBgn0011985
FBtr0077578	FBgn0031512
FBtr0344142	FBgn0031512
FBtr0345729	FBgn0266875
FBti0019115-RA	FBti0019115
FBtr0340586	FBgn0265677
FBtr0301033	FBgn0031513
FBtr0340587	FBgn0031513
FBtr0340588	FBgn0265678
FBtr0114460	FBgn0031518
FBtr0077580	FBgn0031517
FBtr0077583	FBgn0031520
FBtr0339546	FBgn0031520
FBtr0077584	FBgn0053281
FBtr0113458	FBgn0053282
FBtr0339547	FBgn0031522
FBtr0077586	FBgn0031522
FBtr0077587	FBgn0031523
FBtr0077588	FBgn0031526
FBtr0077589	FBgn0016698
FBti0019116-RA	FBti0019116
FBtr0343236	FBgn0266026
FBtr0112366	FBgn0085204
FBtr0077590	FBgn0031531
FBtr0077591	FBgn0051952
FBtr0343237	FBgn0051952
FBtr0077516	FBgn0031533
FBtr0077517	FBgn0031534
FBtr0343238	FBgn0031534
FBtr0113019	FBgn0031535
FBtr0077519	FBgn0266670
FBtr0077520	FBgn0021967
FBtr0077521	FBgn0021967
FBtr0077522	FBgn0051776
FBtr0333248	FBgn0051956
FBtr0114524	FBgn0051956
FBtr0345781	FBgn0266912
FBtr0345782	FBgn0264549
FBtr0333249	FBgn0264549
FBtr0077524	FBgn0261560
FBtr0345289	FBgn0261560
FBtr0480519	FBgn0287668
FBtr0345565	FBgn0266837
FBtr0345566	FBgn0266838
FBtr0077525	FBgn0031544
FBtr0333250	FBgn0031544
FBtr0333251	FBgn0031546
FBtr0077526	FBgn0031546
FBtr0089937	FBgn0031548
FBtr0077529	FBgn0031550
FBtr0339568	FBgn0265367
FBtr0077530	FBgn0024244
FBtr0077531	FBgn0024244
FBtr0344768	FBgn0024244
FBtr0339569	FBgn0265368
FBtr0332221	FBgn0264370
FBtr0332222	FBgn0264363
FBtr0339570	FBgn0265369
FBtr0339571	FBgn0015663
FBtr0077532	FBgn0015663
FBti0019117-RA	FBti0019117
FBtr0302391	FBgn0085369
FBtr0339572	FBgn0085369
FBtr0300300	FBgn0259954
FBtr0300301	FBgn0259955
FBtr0300302	FBgn0259956
FBtr0300303	FBgn0259957
FBtr0305483	FBgn0262621
FBtr0339573	FBgn0265370
FBtr0300299	FBgn0031564
FBtr0077537	FBgn0031566
FBtr0077538	FBgn0031566
FBtr0089274	FBgn0003386
FBtr0089275	FBgn0003386
FBtr0332184	FBgn0003386
FBtr0332185	FBgn0003386
FBtr0289989	FBgn0003386
FBtr0479854	FBgn0031568
FBtr0479853	FBgn0031568
FBtr0321304	FBgn0263846
FBtr0321306	FBgn0263846
FBtr0321308	FBgn0263846
FBtr0330223	FBgn0263846
FBtr0321307	FBgn0263846
FBtr0321305	FBgn0263846
FBtr0321298	FBgn0263842
FBtr0321309	FBgn0263846
FBtr0472819	FBtr0472819_df_nrg
FBtr0304275	FBgn0262392
FBtr0304276	FBtr0304276_df_nrg
FBtr0077490	FBgn0004893
FBtr0077491	FBgn0004893
FBtr0307027	FBgn0004893
FBtr0307028	FBgn0004893
FBtr0307029	FBgn0004893
FBtr0077492	FBgn0004893
FBtr0077493	FBgn0004893
FBtr0077494	FBgn0051960
FBtr0445666	FBgn0051958
FBtr0077496	FBgn0031571
FBtr0307051	FBgn0031571
FBtr0307052	FBgn0031571
FBtr0077497	FBgn0021800
FBtr0077498	FBgn0021800
FBtr0334830	FBgn0264885
FBtr0334831	FBgn0264886
FBtr0077499	FBgn0003430
FBtr0077500	FBgn0004567
FBtr0345955	FBgn0267007
FBtr0077502	FBgn0031574
FBtr0077501	FBgn0031574
FBtr0334832	FBgn0031574
FBtr0077504	FBgn0031575
FBtr0301082	FBgn0031575
FBti0063101-RA	FBti0063101
FBti0063042-RA	FBti0063042
FBtr0332007	FBgn0264341
FBtr0345740	FBgn0266883
FBtr0112367	FBgn0085205
FBtr0077505	FBgn0031579
FBtr0077506	FBgn0031580
FBtr0331498	FBgn0264295
FBtr0331499	FBgn0264296
FBti0063043-RA	FBti0063043
FBtr0077465	FBgn0000547
FBtr0334266	FBgn0000547
FBtr0334265	FBgn0000547
FBtr0077466	FBgn0020376
FBtr0077467	FBgn0014033
FBtr0346582	FBgn0014033
FBtr0077468	FBgn0031585
FBti0063046-RA	FBti0063046
FBtr0334786	FBgn0264866
FBtr0077469	FBgn0040102
FBtr0077470	FBgn0003941
FBtr0334787	FBgn0003941
FBtr0342651	FBgn0265819
FBtr0334788	FBgn0264867
FBtr0342950	FBgn0264867
FBtr0077471	FBgn0265269
FBtr0089268	FBgn0010473
FBtr0089269	FBgn0010473
FBtr0089271	FBgn0010473
FBtr0089270	FBgn0010473
FBtr0301863	FBgn0010473
FBtr0347158	FBgn0010473
FBtr0347159	FBgn0010473
FBtr0333484	FBgn0010473
FBtr0333485	FBgn0010473
FBtr0301864	FBgn0010473
FBtr0077425	FBgn0028482
FBtr0077426	FBgn0020762
FBtr0077427	FBgn0020762
FBtr0112899	FBgn0020762
FBtr0112898	FBgn0020762
FBtr0304205	FBgn0262375
FBtr0304206	FBtr0304206_df_nrg
FBtr0342832	FBgn0265908
FBtr0342833	FBgn0265909
FBtr0342834	FBgn0265910
FBtr0342835	FBgn0265911
FBtr0077428	FBgn0031596
FBtr0334400	FBgn0031596
FBtr0334401	FBgn0026319
FBtr0077429	FBgn0026319
FBtr0077431	FBgn0027560
FBtr0077432	FBgn0022153
FBtr0305968	FBgn0022153
FBtr0331447	FBgn0022153
FBtr0077434	FBgn0053003
FBtr0290071	FBgn0053003
FBtr0077435	FBgn0031601
FBtr0304637	FBgn0262357
FBtr0112368	FBgn0085206
FBtr0112369	FBgn0085207
FBtr0112370	FBgn0085207
FBtr0112371	FBgn0085207
FBtr0304638	FBgn0262358
FBtr0331435	FBgn0031603
FBtr0331434	FBgn0031603
FBtr0077438	FBgn0031603
FBtr0077439	FBgn0031604
FBtr0077440	FBgn0040705
FBtr0345632	FBgn0031608
FBtr0077441	FBgn0031608
FBtr0077442	FBgn0031610
FBtr0077443	FBgn0031611
FBtr0342652	FBgn0265820
FBtr0110769	FBgn0083938
FBtr0346457	FBgn0083938
FBtr0300354	FBgn0031617
FBtr0332006	FBgn0264342
FBtr0100560	FBgn0031619
FBtr0077376	FBgn0031619
FBtr0077377	FBgn0031620
FBtr0343222	FBgn0031620
FBtr0077378	FBgn0031621
FBtr0112561	FBgn0085380
FBtr0329978	FBgn0085380
FBtr0300851	FBgn0260428
FBtr0332499	FBgn0260428
FBtr0077382	FBgn0031628
FBtr0077381	FBgn0031628
FBtr0077383	FBgn0031630
FBtr0077384	FBgn0031632
FBtr0336962	FBgn0031632
FBtr0077385	FBgn0031636
FBtr0300756	FBgn0031636
FBtr0332476	FBgn0031636
FBtr0077386	FBgn0031638
FBtr0077387	FBgn0031640
FBtr0077388	FBgn0051660
FBtr0100301	FBgn0051660
FBtr0304909	FBgn0051660
FBtr0304910	FBgn0051660
FBtr0336831	FBgn0051660
FBtr0077389	FBgn0031643
FBtr0077390	FBgn0031644
FBtr0336832	FBgn0031645
FBtr0077391	FBgn0031645
FBtr0077393	FBgn0003372
FBtr0078990	FBgn0031650
FBtr0078991	FBgn0015000
FBtr0330714	FBgn0015000
FBti0019123-RA	FBti0019123
FBtr0078992	FBgn0031655
FBtr0110838	FBgn0083960
FBtr0110839	FBgn0083961
FBtr0078994	FBgn0031657
FBtr0078995	FBgn0031659
FBtr0078996	FBgn0031660
FBtr0331227	FBgn0031660
FBtr0078997	FBgn0031662
FBtr0290010	FBgn0083962
FBtr0329976	FBgn0083962
FBtr0329977	FBgn0083962
FBtr0329974	FBgn0083962
FBtr0329975	FBgn0083962
FBtr0332412	FBgn0031670
FBtr0079000	FBgn0031670
FBtr0332411	FBgn0031670
FBtr0079003	FBgn0000299
FBtr0079002	FBgn0000299
FBtr0079001	FBgn0000299
FBtr0079005	FBgn0260470
FBtr0110984	FBgn0260451
FBtr0346510	FBgn0260451
FBtr0079004	FBgn0260470
FBtr0110983	FBgn0260451
FBtr0333534	FBgn0260470
FBtr0333535	FBgn0260470
FBtr0100048	FBgn0053995
FBtr0100049	FBgn0053995
FBtr0334119	FBgn0264742
FBtr0334121	FBgn0264742
FBtr0334123	FBgn0264742
FBtr0334124	FBgn0264743
FBtr0334125	FBgn0264743
FBtr0334127	FBgn0264743
FBtr0100050	FBgn0053995
FBtr0334122	FBgn0264742
FBtr0334128	FBgn0264743
FBtr0334120	FBgn0264742
FBtr0334126	FBgn0264743
FBtr0079009	FBgn0031676
FBtr0079010	FBgn0014857
FBtr0333537	FBgn0014857
FBtr0333536	FBgn0014857
FBtr0100260	FBgn0028572
FBtr0079012	FBgn0028572
FBtr0100259	FBgn0028572
FBtr0332212	FBgn0028572
FBtr0332215	FBgn0028572
FBtr0302569	FBgn0028572
FBtr0079013	FBgn0028572
FBtr0100263	FBgn0028572
FBtr0332213	FBgn0028572
FBtr0339791	FBgn0028572
FBtr0332214	FBgn0028572
FBtr0339792	FBgn0028572
FBtr0304261	FBgn0262213
FBtr0304262	FBtr0304262_df_nrg
FBtr0304263	FBtr0304263_df_nrg
FBtr0302570	FBgn0261608
FBtr0079016	FBgn0261608
FBtr0079017	FBgn0261608
FBtr0329981	FBgn0031682
FBtr0079018	FBgn0031682
FBtr0079019	FBgn0031683
FBtr0329982	FBgn0031683
FBtr0329983	FBgn0031683
FBtr0303389	FBgn0261836
FBtr0332403	FBgn0261836
FBtr0332404	FBgn0261836
FBtr0303388	FBgn0261836
FBtr0303385	FBgn0261836
FBtr0332405	FBgn0261836
FBtr0303383	FBgn0261836
FBti0063078-RA	FBti0063078
FBtr0303386	FBgn0261836
FBtr0303384	FBgn0261836
FBtr0332406	FBgn0261836
FBtr0303387	FBgn0261836
FBtr0091790	FBgn0065083
FBtr0091919	FBgn0065107
FBtr0113538	FBgn0083028
FBtr0091750	FBgn0065104
FBtr0079061	FBgn0031688
FBtr0079062	FBgn0031689
FBtr0342931	FBgn0031692
FBtr0346458	FBgn0031692
FBtr0079063	FBgn0031692
FBtr0079064	FBgn0051971
FBtr0303308	FBgn0046776
FBtr0342932	FBgn0265957
FBtr0342933	FBgn0265957
FBtr0079066	FBgn0031693
FBtr0300456	FBgn0031694
FBtr0079068	FBgn0031695
FBtr0346455	FBgn0031696
FBtr0079069	FBgn0031696
FBtr0342934	FBgn0031696
FBtr0342935	FBgn0265955
FBtr0342936	FBgn0016076
FBtr0079070	FBgn0016076
FBtr0300020	FBgn0016076
FBtr0079071	FBgn0016076
FBtr0346579	FBgn0016076
FBtr0344050	FBgn0266320
FBtr0079072	FBgn0015031
FBtr0307035	FBgn0015031
FBtr0307034	FBgn0015031
FBtr0307036	FBgn0031701
FBtr0079073	FBgn0031701
FBtr0304843	FBgn0016920
FBtr0300012	FBgn0016920
FBtr0343224	FBgn0016920
FBtr0347408	FBgn0016920
FBtr0347409	FBgn0016920
